模型,准确率,精确率,召回率,F1分数,AUC,CV_AUC均值,CV_AUC标准差
支持向量机,0.9285714285714286,0.927710843373494,1.0,0.9625,0.9424860853432283,0.9421693121693122,0.05519398591601005
逻辑回归,0.9285714285714286,0.9493670886075949,0.974025974025974,0.9615384615384616,0.9406307977736549,0.9495767195767197,0.04907064407072122
LightGBM,0.9404761904761905,0.9390243902439024,1.0,0.9685534591194969,0.9397031539888682,0.9111904761904762,0.09482234356919306
朴素贝叶斯,0.9047619047619048,0.9859154929577465,0.9090909090909091,0.9459459459459459,0.9294990723562151,0.9311111111111112,0.09379515373513457
K近邻,0.9404761904761905,0.95,0.987012987012987,0.9681528662420382,0.8951762523191095,0.8386772486772486,0.14536312695291273
XGBoost,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348,0.8849721706864564,0.853835978835979,0.1973569797140221
随机森林,0.9166666666666666,0.9375,0.974025974025974,0.9554140127388535,0.8571428571428571,0.9587301587301587,0.028698034209550197
决策树,0.9166666666666666,0.9487179487179487,0.961038961038961,0.9548387096774194,0.74860853432282,0.8091798941798942,0.12592069038958442
