feature,mean_abs_shap,importance_rank
worst concavity,0.033067587787908026,3
area error,0.02970390624802505,4
mean concavity,0.028988790016747274,1
worst area,0.020232546172940506,2
worst radius,0.011964288410494309,5
worst perimeter,0.0030920050171759955,6
